episode,step,action,time_to_collision,completion,collision,collision_type,reward_merged,reward_time_to_collision,reward_completion,loss,done,tick,system_time,game_time
0,0,19,1000,0.0,False,,0.0,0.0,0,100,False,40,7.2447967529296875,2.0000000298023224
0,1,6,1000,29.504615508414975,False,,0.17654859125768485,0.0,0.3530971825153697,100,False,80,14.686347961425781,4.100000061094761
0,2,10,1000,41.48494939299498,False,,0.04521131383864868,0.0,0.09042262767729736,100,False,120,23.193720817565918,6.200000092387199
0,3,1,1000,29.01043509859005,False,,0.1819661622707739,0.0,0.3639323245415478,100,True,146,28.20350933074951,7.600000113248825
1,0,30,1000,0.0,False,,0.0,0.0,0,100,False,40,5.578865051269531,2.0000000298023224
1,1,12,1.5904749521043775,21.215942350786545,False,,0.6038194073836723,0.6728085058755346,0.53483030889181,100,False,80,13.665282249450684,4.100000061094761
1,2,1,2.4694133782794125,16.577377934013075,False,,0.5965240043621359,0.5565149547335169,0.636533053990755,100,False,120,21.886523723602295,6.200000092387199
1,3,32,1000,41.484933583616865,False,,0.045211487152739815,0.0,0.09042297430547963,100,False,160,29.80168890953064,8.200000122189522
1,4,17,1000,16.577409552769296,False,,0.31826618036719523,0.0,0.6365323607343905,100,False,200,37.05814838409424,10.30000015348196
1,5,13,1000,0.0,False,,0.0,0.0,0,100,True,240,43.109994411468506,12.400000184774399
2,0,8,1000,0.0,False,,0.0,0.0,0,100,False,40,5.891656160354614,2.0000000298023224
2,1,15,1000,29.504615508414975,False,,0.17654859125768485,0.0,0.3530971825153697,100,False,80,13.237102746963501,4.100000061094761
2,2,16,1000,33.19626042598844,False,,0.13607805034095988,0.0,0.27215610068191975,100,False,120,20.779361724853516,6.200000092387199
2,3,21,1000,16.57737793401307,True,vehicle,0.8182665269953775,1.0,0.6365330539907551,100,True,160,27.823445796966553,8.300000123679638
3,0,3,1000,0.0,False,,0.0,0.0,0,100,False,40,5.231465816497803,2.0000000298023224
3,1,10,1000,21.215942350786545,False,,0.267415154445905,0.0,0.53483030889181,100,False,80,12.36066722869873,4.100000061094761
3,2,35,1000,0.0,False,,0.0,0.0,0,100,False,120,18.723522901535034,6.100000090897083
3,3,33,1000,24.866082710397723,False,,0.2273996171789751,0.0,0.4547992343579502,100,False,160,26.341377019882202,8.100000120699406
3,4,3,1000,45.629285971809196,False,,-0.00022196775546146075,0.0,-0.0004439355109229215,100,False,200,34.39129829406738,10.200000151991844
3,5,32,1000,4.144352388192317,False,,0.4545665450917989,0.0,0.9091330901835978,100,True,240,41.10613036155701,12.200000181794167
4,0,35,1000,0.0,False,,0.0,0.0,0,100,False,40,5.659550428390503,2.0000000298023224
4,1,16,1000,29.504615508414975,False,,0.17654859125768485,0.0,0.3530971825153697,100,False,80,13.627325057983398,4.100000061094761
4,2,19,1000,24.907539840225684,False,,0.2269451334714534,0.0,0.4538902669429068,100,False,120,20.79694652557373,6.200000092387199
4,3,10,1000,0.0,False,,0.0,0.0,0,100,False,160,28.777347326278687,8.300000123679638
4,4,11,1000,24.866098519775825,False,,0.2273994438648841,0.0,0.4547988877297682,100,False,200,37.565812826156616,10.400000154972076
4,5,27,3.4655762435183846,16.577409552769296,False,,0.5572437799672626,0.4779551992001347,0.6365323607343905,100,True,240,45.57737421989441,12.450000185519457
5,0,9,1000,0.0,False,,0.0,0.0,0,100,False,40,7.525960445404053,2.0000000298023224
5,1,34,1000,25.36027892960076,False,,0.22198187285179494,0.0,0.4439637457035899,100,False,80,14.920003175735474,4.050000060349703
5,2,17,2.5395985115322564,29.0518764190399,False,,0.4563327481352044,0.5496417925157222,0.3630237037546866,100,False,120,22.27599310874939,6.150000091642141
5,3,7,1000,0.0,False,,0.0,0.0,0,100,False,160,29.3834445476532,8.25000012293458
5,4,22,1000,20.72176194096162,False,,0.27283272545899406,0.0,0.5456654509179881,100,False,200,37.359572887420654,10.350000154227018
5,5,3,1000,24.86608271039772,False,,0.22739961717897517,0.0,0.45479923435795033,100,True,224,42.08360934257507,11.650000173598528
6,0,8,1000,0.0,False,,0.0,0.0,0,100,False,40,5.528279066085815,2.0000000298023224
6,1,10,1000,21.215942350786545,False,,0.267415154445905,0.0,0.53483030889181,100,False,80,12.451468229293823,4.100000061094761
6,2,22,1000,0.0,False,,0.0,0.0,0,100,False,120,20.145830631256104,6.200000092387199
6,3,12,1000,29.010419289211942,False,,0.18196633558486502,0.0,0.36393267116973005,100,False,160,28.341065645217896,8.300000123679638
6,4,30,3.442346473485512,41.48494939299498,False,,0.2849200066905765,0.4794173857038556,0.09042262767729736,100,False,200,36.35164427757263,10.30000015348196
6,5,34,6.170677998478317,8.288688967006536,False,,0.5924261601699244,0.36658579334447133,0.8182665269953775,100,True,208,37.85424780845642,10.700000159442425
7,0,29,1000,0.0,False,,0.0,0.0,0,100,False,40,5.954622268676758,2.0000000298023224
7,1,21,1000,29.504615508414975,False,,0.17654859125768485,0.0,0.3530971825153697,100,False,80,13.359952449798584,4.100000061094761
7,2,14,1000,41.48494939299498,False,,0.04521131383864868,0.0,0.09042262767729736,100,False,120,24.09545874595642,6.200000092387199
7,3,14,1000,29.01043509859005,False,,0.1819661622707739,0.0,0.3639323245415478,100,True,148,29.9500572681427,7.700000114738941
8,0,33,1000,0.0,False,,0.0,0.0,0,100,False,40,6.7277991771698,2.0000000298023224
8,1,11,1.835350009287634,8.782869376831467,False,,0.7203656624793048,0.6332999399894103,0.8074313849691993,100,False,80,13.851788520812988,4.100000061094761
8,2,27,1000,4.144368197570431,False,,0.4545663717777077,0.0,0.9091327435554154,100,False,120,20.898093223571777,6.150000091642141
8,3,19,1000,0.0,False,,0.0,0.0,0,100,False,160,28.1730637550354,8.25000012293458
8,4,16,1000,0.0,False,,0.0,0.0,0,100,False,200,36.39318346977234,10.350000154227018
8,5,24,5.538833671824211,0.0,False,,0.19270112366962092,0.38540224733924183,0,100,True,240,44.92509698867798,12.400000184774399
9,0,17,1000,0.0,False,,0.0,0.0,0,100,False,40,5.757727384567261,2.0000000298023224
9,1,15,1000,29.504615508414975,False,,0.17654859125768485,0.0,0.3530971825153697,100,False,80,11.518692970275879,4.100000061094761
9,2,24,2.233064746542495,33.19626042598844,False,,0.42694667963128186,0.581737258580644,0.27215610068191975,100,False,120,19.330330848693848,6.150000091642141
9,3,25,2.413116888126366,20.721730322205403,False,,0.5539435597446736,0.5622209753149947,0.5456661441743526,100,False,160,28.19402575492859,8.200000122189522
9,4,2,1000,16.577393743391184,False,,0.3182663536812864,0.0,0.6365327073625728,100,True,175,31.335195302963257,9.050000134855509
10,0,1,1000,0.0,False,,0.0,0.0,0,100,False,40,4.609468936920166,2.0000000298023224
10,1,28,1000,29.504615508414975,False,,0.17654859125768485,0.0,0.3530971825153697,100,False,80,9.63766860961914,4.050000060349703
10,2,1,2.6310906478657654,41.48494939299498,False,,0.3157403720723022,0.5410581164673071,0.09042262767729736,100,False,120,15.593219518661499,6.150000091642141
10,3,3,1000,16.577393743391184,False,,0.3182663536812864,0.0,0.6365327073625728,100,False,160,23.111844301223755,8.25000012293458
10,4,31,1000,4.144352388192331,False,,0.4545665450917987,0.0,0.9091330901835974,100,False,200,30.920316696166992,10.250000152736902
10,5,9,1000,8.288688967006536,False,,0.40913326349768875,0.0,0.8182665269953775,100,True,216,34.30670928955078,11.150000166147947
11,0,28,1000,0.0,False,,0.0,0.0,0,100,False,40,4.914907693862915,2.0000000298023224
11,1,10,1000,21.215942350786545,False,,0.267415154445905,0.0,0.53483030889181,100,False,80,11.60241174697876,4.100000061094761
11,2,29,1000,4.144336578814215,False,,0.4545667184058899,0.0,0.9091334368117798,100,False,120,18.32793378829956,6.150000091642141
11,3,27,0.7980317355735883,37.34059700480265,False,,0.5298329470583031,0.8783763566229065,0.1812895374936997,100,False,160,26.205693244934082,8.200000122189522
11,4,17,1.4517363249866104,37.29912406559659,False,,0.4404648288781222,0.6987308062193192,0.18219885153692528,100,True,196,32.847739696502686,10.100000150501728
12,0,22,1000,0.0,False,,0.0,0.0,0,100,False,40,5.118442058563232,2.0000000298023224
12,1,34,1000,29.504615508414975,False,,0.17654859125768485,0.0,0.3530971825153697,100,False,80,11.255489110946655,4.050000060349703
12,2,32,2.751800278265146,37.34059700480266,False,,0.3558118652177869,0.5303341929418742,0.18128953749369958,100,False,120,17.56018900871277,6.050000090152025
12,3,19,1000,33.15478748678237,False,,0.13653270736257278,0.0,0.27306541472514556,100,True,153,22.47326970100403,7.800000116229057
13,0,29,1000,0.0,False,,0.0,0.0,0,100,False,40,7.7945029735565186,2.0000000298023224
13,1,22,1000,29.504615508414975,False,,0.17654859125768485,0.0,0.3530971825153697,100,False,80,14.751270771026611,4.100000061094761
13,2,32,1000,41.48494939299498,False,,0.04521131383864868,0.0,0.09042262767729736,100,False,120,22.278503894805908,6.100000090897083
13,3,0,1000,29.01043509859005,False,,0.1819661622707739,0.0,0.3639323245415478,100,True,149,27.15668773651123,7.650000113993883
14,0,6,1000,0.0,False,,0.0,0.0,0,100,False,40,6.8330042362213135,2.0000000298023224
14,1,13,1000,29.504615508414975,False,,0.17654859125768485,0.0,0.3530971825153697,100,False,80,13.997966289520264,4.100000061094761
14,2,32,2.2653970309874056,41.48494939299498,False,,0.33425194047737306,0.5780812532774487,0.09042262767729736,100,False,120,22.14587950706482,6.100000090897083
14,3,34,1000,29.01043509859005,False,,0.1819661622707739,0.0,0.3639323245415478,100,True,150,27.26822805404663,7.600000113248825
15,0,15,1000,0.0,False,,0.0,0.0,0,100,False,40,5.68220853805542,2.0000000298023224
15,1,13,1000,29.504615508414975,False,,0.17654859125768485,0.0,0.3530971825153697,100,False,80,11.636985301971436,4.100000061094761
15,2,1,1000,41.48494939299498,False,,0.04521131383864868,0.0,0.09042262767729736,100,False,120,19.02030897140503,6.200000092387199
15,3,10,1000,29.01043509859005,False,,0.1819661622707739,0.0,0.3639323245415478,100,True,147,23.597747564315796,7.650000113993883
16,0,3,1000,0.0,False,,0.0,0.0,0,100,False,40,5.415803670883179,2.0000000298023224
